DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
AM;6300723;1;AC MONSENHOR COUTINHO;14/09/2020;14681,18;10
AM;6300715;1;AC COMPENSA;14/09/2020;1844,75;10
AM;6300693;1;AC CACHOEIRINHA;14/09/2020;3785,83;10
AM;6300677;1;AC IPIXUNA;14/09/2020;328,58;10
AM;6300669;1;AC TABATINGA;14/09/2020;1157,61;10
AM;6300651;1;AC ENVIRA;14/09/2020;280,14;10
AM;6300642;1;AC PAUINI;14/09/2020;496,97;10
AM;6300634;2;AC BOCA DO ACRE;14/09/2020;297,58;10
AM;6300626;1;AC LABREA;14/09/2020;5802,38;10
AM;6300618;1;AC CANUTAMA;14/09/2020;1875,16;10
AM;6300600;1;AC HUMAITA;14/09/2020;3563,19;10
AM;6300596;1;AC EIRUNEPE;14/09/2020;468,41;10
AM;6300588;1;AC ALVARAES;14/09/2020;1738,09;10
AM;6300570;1;AC JURUA;14/09/2020;4158,42;10
AM;6300561;1;AC JAPURA;14/09/2020;809,03;10
AM;6300553;1;AC AMATURA;14/09/2020;205,62;10
AM;6300537;1;AC UARINI;14/09/2020;12811,54;10
AM;6300481;1;AC BERURI;14/09/2020;425,01;10
AM;6300464;1;AC CAAPIRANGA;14/09/2020;5115,24;10
AM;6300456;1;AC PARINTINS;14/09/2020;29423,2;10
AM;6300421;1;AC TEFE;14/09/2020;2191,8;10
AM;6300332;1;AC SAO JOSE OPERARIO;14/09/2020;559,56;10
AM;6300219;1;AC AUTAZES;14/09/2020;1888,62;10
AM;6300201;1;AC ANORI;14/09/2020;24470,04;10
AM;6300197;1;AC URUCURITUBA;14/09/2020;4126,26;10
AM;6300189;1;AC URUCARA;14/09/2020;279,35;10
AM;6300171;1;AC SILVES;14/09/2020;6052,98;10
AM;6300162;1;AC NHAMUNDA;14/09/2020;498,15;10
AM;6300154;1;AC MAUES;14/09/2020;337,59;10
AM;6300138;1;AC BARREIRINHA;14/09/2020;103,89;10
AM;6300090;1;AC SAO GABRIEL DA CACHOEIRA;14/09/2020;1474,64;10
AM;6300065;1;AC PRESIDENTE FIGUEIREDO;14/09/2020;991,99;10
AM;6300057;1;AC SALDANHA MARINHO;14/09/2020;4312,04;10
AM;6300049;1;AC SANTA IZABEL DO RIO NEGRO;14/09/2020;5881,25;10
AM;6300031;1;AC BARCELOS;14/09/2020;548,7;10
AM;6300022;1;AC NOVO AIRAO;14/09/2020;273,83;10
AM;6301169;1;AC STUDIO 5;11/09/2020;3334,07;10
AM;6301100;1;AC SHOPPING MILENNIUM CENTER;11/09/2020;2073,19;10
AM;6301096;1;AC NOVO REMANSO;11/09/2020;46,24;10
AM;6301045;1;AC NOEL NUTELLS;11/09/2020;541,86;10
AM;6301037;1;AC SHOPPING SAO JOSE;11/09/2020;333,77;10
AM;6301011;1;AC RODOVIÁRIA DE MANAUS;11/09/2020;4156,93;10
AM;6301002;1;AC PAC/PORTO;11/09/2020;5435,42;10
AM;6300910;1;AC GUAJARA;11/09/2020;1069,29;10
AM;6300901;1;AC APUÍ;11/09/2020;427,87;10
AM;6300898;1;AC CAREIRO DA VARZEA;11/09/2020;17,2;10
AM;6300880;1;AC ITAMARATI;11/09/2020;0;10
AM;6300871;1;AC RIO PRETO DA EVA;11/09/2020;143,35;10
AM;6300855;1;AC MANAQUIRI;11/09/2020;299,67;10
AM;6300847;1;AC CIDADE NOVA;11/09/2020;3291,46;10
AM;6300821;1;AC IRANDUBA;11/09/2020;883,42;10
AM;6300812;1;AC SAO SEBASTIAO DO UATUMA;11/09/2020;2,24;10
AM;6300758;1;AC ANDRE ARAUJO;11/09/2020;880;10
AM;6300740;1;AC BOA VISTA DO RAMOS;11/09/2020;467,77;10
AM;6300723;1;AC MONSENHOR COUTINHO;11/09/2020;8996,34;10
AM;6300715;1;AC COMPENSA;11/09/2020;3864,87;10
AM;6300693;1;AC CACHOEIRINHA;11/09/2020;4958,99;10
AM;6300677;1;AC IPIXUNA;11/09/2020;379,61;10
AM;6300669;1;AC TABATINGA;11/09/2020;949,29;10
AM;6300651;1;AC ENVIRA;11/09/2020;228,65;10
AM;6300642;1;AC PAUINI;11/09/2020;322,58;10
AM;6300634;2;AC BOCA DO ACRE;11/09/2020;321,32;10
AM;6300626;1;AC LABREA;11/09/2020;5146,97;10
AM;6300618;1;AC CANUTAMA;11/09/2020;342,22;10
AM;6300600;1;AC HUMAITA;11/09/2020;2562,7;10
AM;6300596;1;AC EIRUNEPE;11/09/2020;454,41;10
AM;6300588;1;AC ALVARAES;11/09/2020;233,31;10
AM;6300570;1;AC JURUA;11/09/2020;4023,9;10
AM;6300561;1;AC JAPURA;11/09/2020;695,37;10
AM;6300553;1;AC AMATURA;11/09/2020;377,62;10
AM;6300537;1;AC UARINI;11/09/2020;8520;10
AM;6300481;1;AC BERURI;11/09/2020;452;10
AM;6300464;1;AC CAAPIRANGA;11/09/2020;295,58;10
AM;6300456;1;AC PARINTINS;11/09/2020;29135,57;10
AM;6300421;1;AC TEFE;11/09/2020;909,43;10
AM;6300413;1;AC SÃO PAULO DE OLIVENÇA;11/09/2020;288,99;10
AM;6300405;1;AC TONANTINS;11/09/2020;293,69;10
AM;6300391;1;AC SANTO ANTONIO DO ICA;11/09/2020;1611,72;10
AM;6300383;1;AC MARAA;11/09/2020;4035,9;10
AM;6300375;1;AC JUTAI;11/09/2020;352,23;10
AM;6300367;1;AC FONTE BOA;11/09/2020;61,99;10
AM;6300359;1;AC COARI;11/09/2020;47,99;10
AM;6300341;1;AC CARAUARI;11/09/2020;293,56;10
AM;6300324;1;AC ITACOATIARA;11/09/2020;347,57;10
AM;6300316;1;AC ATALAIA DO NORTE;11/09/2020;244,75;10
AM;6300308;1;AC TAPAUA;11/09/2020;0;10
